Zip Code,County,City
51103,Woodbury,Sioux City
51104,Woodbury,Sioux City
51105,Woodbury,Sioux City
51106,Woodbury,Sioux City
51108,Woodbury,Sioux City
51109,Woodbury,Sioux City
51201,OBRIEN,Sheldon
51230,Lyon,ALVORD
51235,LYON,Doon
51237,Lyon,George
51238,Sioux,Hospers
51240,Lyon,Inwood
51241,Lyon,Larchwood
51245,OBRIEN,Primghar
51246,Lyon,Rock Rapids
51247,Sioux,Rock Valley
51248,OBRIEN,Sanborn
51249,Osceola,Sibley
51250,Sioux,Sioux Center
51301,Clay,Spencer
51331,Dickinson,Arnolds Park
51334,Emmet,Estherville
51338,Clay,Everly
51342,Palo Alto,Graettinger
51346,OBRIEN,Hartley
51347,Dickinson,Lake Park
51351,Dickinson,Milford
51355,Dickinson,Okoboji
51358,Palo Alto,Ruthven
51360,Dickinson,Spirit Lake
51401,Carroll,Carroll
51442,Crawford,Denison
51443,Carroll,Glidden
51445,Ida,Ida Grove
51449,Calhoun,Lake City
51450,Sac,Lake View
51453,Calhoun,Lohrville
51455,Carroll,Manning
51461,Crawford,Schleswig
51462,Greene,Scranton
51463,CARROLL,Templeton
51466,Sac,Wall Lake
51501,Pottawattamie,Council Bluffs
51503,Pottawattamie,Council Bluffs
51510,Pottawattamie,Carter Lake
51521,Pottawattamie,Avoca
51526,Pottawattamie,Crescent
51529,HARRISON,Dunlap
51530,SHELBY,Earling
51534,Mills,Glenwood
51535,Cass,Griswold
51537,Shelby,Harlan
51546,Harrison,Logan
51551,Mills,Malvern
51553,Pottawattamie,Minden
51555,Harrison,Missouri Valley
51559,Pottawattamie,Neola
51560,Pottawattamie,Oakland
51561,Mills,Pacific Junction
51566,Montgomery,Red Oak
51570,Harrison,Shelby
51573,MONTGOMERY,Stanton
51575,Pottawattamie,Treynor
51577,Pottawattamie,Walnut
51579,Harrison,Woodbine
51601,Page,Shenandoah
51632,Page,Corning
51640,Fremont,Hamburg
51653,FREMONT,Tabor
52001,Iowa,Dubuque
52002,Dubuque,Dubuque
52003,Dubuque,Dubuque
52004,Dubuque,DUBUQUE
52031,Jackson,Bellevue
52033,Dubuque,Cascade
52035,Delaware,COLESBURG
52036,Delaware,Delaware
52037,Clinton,Delmar
52040,Dubuque,Dyersville
52042,Clayton,Edgewood
52043,Clayton,Elkader
52046,Dubuque,Farley
52049,Clayton,Garnavillo
52052,Clayton,Guttenberg
52053,Dubuque,Holy Cross
52057,Delaware,Manchester
52060,Jackson,Maquoketa
52068,Dubuque,Peosta
52069,Jackson,PRESTON
52076,Clayton,Strawberry Point
52079,Jackson,Zwingle
52084,Scott,Davenport
52087,Delaware,Manchester
52101,Winneshiek,Decorah
52134,Howard,CHESTER
52136,Howard,Cresco
52142,Fayette,Fayette
52144,Winneshiek,Fort Atkinson
52146,Allamakee,Harpers Ferry
52151,Allamakee,Lansing
52154,Chickasaw,Lawler
52157,Clayton,MCGREGOR
52158,CLAYTON,Marquette
52159,Clayton,Monona
52161,Winneshiek,OSSIAN
52162,Allamakee,Postville
52166,Fayette,St Lucas
52172,Allamakee,Waukon
52175,Fayette,West Union
52202,LINN,Alburnett
52203,IOWA,Amana
52205,Jones,Anamosa
52206,BENTON,Atkins
52207,Jackson,Baldwin
52208,Benton,Belle Plaine
52211,Poweshiek,Brooklyn
52213,Linn,Center Point
52214,Linn,Central City
52223,Delaware,Delhi
52224,Tama,Dysart
52227,Linn,Ely
52228,Linn,Fairfax
52233,Linn,Hiawatha
52240,Johnson,Iowa City
52241,Johnson,Coralville
52245,Johnson,Iowa City
52246,Johnson,Iowa City
52248,Keokuk,Keota
52253,Linn,Lisbon
52254,Clinton,Lost Nation
52301,Iowa,Marengo
52302,Linn,Marion
52303,Linn,Cedar Rapids
52306,Cedar,Mechanicsville
52310,Jones,Monticello
52314,Linn,Mount Vernon
52316,Iowa,North English
52317,Johnson,North Liberty
52322,JOHNSON,Oxford
52324,Linn,Palo
52327,Washington,Riverside
52328,Linn,Robins
52332,Benton,Shellsburg
52333,Johnson,Solon
52336,Linn,Springville
52337,Cedar,Stanwood
52338,Polk,Swisher
52339,TAMA,Tama
52340,Johnson,Tiffin
52342,Tama,Toledo
52345,Benton,Urbana
52346,BENTON,Van Horne
52347,Poweshiek,Victor
52349,Benton,Vinton
52351,Linn,Walford
52352,Linn,Walker
52353,Washington,Washington
52356,Wapello,Wellman
52358,Cedar,West Branch
52361,Iowa,Williamsburg
52401,Linn,Cedar Rapids
52402,Linn,Cedar Rapids
52403,Linn,Cedar Rapids
52404,Linn,Cedar Rapids
52405,Linn,Mediapolis
52411,Linn,Cedar Rapids
52501,Wapello,Otumwa
52531,Monroe,Albia
52537,Davis,Bloomfield
52544,Appanoose,Centerville
52553,Wapello,Eddyville
52554,Wapello,Eldon
52556,Jefferson,Fairfield
52565,Van Buren,Keosauqua
52571,Appanoose,Moravia
52577,Mahaska,Oskaloosa
52590,WAYNE,Seymour
